restaurant_id,class
1,Spanish
2,Peruvian
2,Seafood
2,South American
3,Asian
3,Chinese
4,American
4,Cafe
4,Diner
5,Mexican
5,Vegetarian Friendly
5,Hawaiian
6,Bar
6,Spanish
7,Mediterranean
7,Greek
7,Middle Eastern
8,Italian
8,Pizza
8,Vegetarian Friendly
9,Mexican
9,Latin
9,Bar
9,Chinese
10,American
10,International
11,Italian
11,Vegetarian Friendly
11,Vegan Options
12,American
12,International
13,Asian
13,Thai
13,Vegetarian Friendly
14,Thai
15,Mexican
15,Southwestern
15,Bar
16,American
16,Bar
17,American
17,Bar
17,Pub
18,Japanese
18,Sushi
18,Asian
19,Chinese
19,Asian
20,Sushi
20,Asian
20,Korean
21,Vegetarian Friendly
22,Bar
22,Pub
23,American
23,Bar
23,Pub
24,American
24,Bar
24,Pub
24,Pizza
25,Italian
25,Pizza
25,Vegetarian Friendly
26,Japanese
26,Sushi
26,Asian
26,French
27,Italian
27,Pizza
27,Vegetarian Friendly
28,Jamaican
29,Italian
29,Pizza
30,American
30,Barbecue
30,Cafe
31,Italian
31,Pizza
32,American
32,Diner
33,Chinese
33,Indian
33,Asian
34,Cafe
34,Fast Food
35,Fast Food
35,Asian
36,Chinese
36,Asian
36,Korean
37,Korean
38,Pizza
38,Fast Food
38,Barbecue
39,Asian
39,Korean
40,American
40,Vegetarian Friendly
40,Gluten Free Options
41,American
41,Bar
41,Barbecue
42,American
42,Bar
42,Contemporary
42,Mexican
43,Italian
43,Wine Bar
43,Pizza
44,Bar
44,Pub
45,Cafe
45,Middle Eastern
45,Arabic
46,Mediterranean
46,Vegetarian Friendly
46,Gluten Free Options
46,Pizza
47,Mexican
47,Latin
47,Spanish
47,Japanese
48,Chinese
49,Indian
49,Vegetarian Friendly
49,Vegan Options
49,Mexican
50,American
50,Brew Pub
50,Bar
51,American
51,Bar
51,Pub
52,American
52,Deli
52,Soups
53,Fast Food
53,Greek
53,Grill
54,Mexican
54,Vegetarian Friendly
55,Asian
55,Thai
55,Vegetarian Friendly
56,American
57,Barbecue
58,Pub
59,American
59,Bar
60,American
60,Bar
60,Pizza
60,Italian
61,Pizza
62,Mediterranean
62,Greek
63,American
63,Steakhouse
63,Gluten Free Options
64,American
64,Healthy
64,Vegetarian Friendly
65,Grill
65,Pub
65,Caribbean
66,Caribbean
66,Latin
66,Cuban
67,American
67,Diner
67,Vegetarian Friendly
68,Asian
69,Chinese
69,Japanese
69,Asian
70,American
70,Bar
70,Pub
71,Cafe
71,Healthy
72,Japanese
72,Bar
72,Seafood
73,Chinese
73,Asian
73,Cantonese
74,American
74,Bar
74,Pub
75,Japanese
75,Sushi
75,Asian
75,Deli
76,Armenian
77,Italian
77,Pizza
77,Cajun & Creole
78,American
78,Bar
78,Seafood
79,Indian
80,Japanese
80,Sushi
80,Asian
80,Chinese
81,Mediterranean
81,Greek
81,Vegetarian Friendly
81,Mexican
82,Bar
83,Lebanese
83,Middle Eastern
83,Israeli
83,American
84,American
84,Bar
84,Pub
85,Cafe
85,Mediterranean
86,American
86,Bar
86,Barbecue
86,Chinese
87,Asian
88,Italian
88,Vegetarian Friendly
88,Vegan Options
89,American
89,Bar
89,Pub
90,Chinese
90,Japanese
90,Sushi
90,Asian
91,Fast Food
91,Barbecue
91,Pakistani
91,Pizza
92,Asian
92,Thai
92,Vegetarian Friendly
92,Mexican
93,Fast Food
93,Middle Eastern
93,Vegetarian Friendly
94,Cafe
94,Diner
95,Pizza
95,Vegetarian Friendly
96,American
96,Vegetarian Friendly
96,Vegan Options
97,American
97,Deli
97,Israeli
98,American
98,Pizza
99,Mexican
99,Latin
99,Vegetarian Friendly
100,American
100,Vegetarian Friendly
100,Vegan Options
101,American
101,Wine Bar
102,American
102,Bar
102,Barbecue
103,American
103,Diner
104,Peruvian
104,Latin
104,South American
105,Mexican
105,Latin
105,Spanish
106,Chinese
106,Asian
106,Hong Kong
107,American
107,Steakhouse
107,Gluten Free Options
108,Mediterranean
108,Middle Eastern
108,Arabic
108,Thai
109,American
109,Gluten Free Options
110,Irish
110,Bar
110,Pub
111,Indian
111,Asian
111,Fusion
112,Japanese
112,Sushi
112,Asian
113,American
113,Bar
113,Pizza
114,Healthy
115,Taiwanese
116,Pizza
116,Vegetarian Friendly
117,Cafe
117,Vegetarian Friendly
117,Vegan Options
118,French
118,Vegetarian Friendly
119,Fast Food
120,Chinese
120,Asian
120,Thai
121,Mediterranean
121,Middle Eastern
121,Israeli
122,Latin
122,Spanish
123,Chinese
123,Asian
123,Taiwanese
124,Japanese
124,Seafood
124,Sushi
125,German
125,Bar
125,European
126,Bar
127,Pizza
127,Pub
127,Mexican
128,Mexican
129,Mediterranean
129,Turkish
129,Georgian
130,Italian
130,Vegetarian Friendly
131,Pizza
132,Mediterranean
132,Greek
132,Vegetarian Friendly
133,Cajun & Creole
133,Seafood
133,Asian
134,Italian
134,American
134,Pizza
135,Cafe
135,American
136,Quick Bites
136,American
136,Bar
137,Contemporary
137,Wine Bar
137,American
138,Chinese
138,Sushi
138,Asian
139,Mexican
139,American
139,Bar
140,American
140,Bar
140,Pub
141,Japanese
141,Asian
141,Vegetarian Friendly
142,Asian
142,Thai
142,Vegan Options
143,American
143,Bar
144,Bar
144,Pub
145,Pub
146,Mexican
146,Japanese
146,Asian
147,Seafood
148,Bar
148,Pub
148,American
149,Mediterranean
149,Turkish
149,Middle Eastern
150,Cafe
150,Barbecue
151,American
151,International
151,Vegetarian Friendly
152,Mediterranean
152,Middle Eastern
152,Armenian
153,American
153,Bar
153,Pub
153,Mexican
154,Polish
