ROW_ID,ZONE,ODD_EVEN,ADDR_LOW,ADD_HIGH,add_name
1,151,O,2315,2347,W 21ST PL
2,109,O,1901,1959,W 22ND PL
3,136,O,2601,2659,W 22ND PL
4,1201,O,2601,2699,W 23RD PL
5,113,O,4701,4759,N AVERS AVE
6,880,O,2801,2899,W 23RD PL
7,965,O,2801,2877,W 23RD ST
8,95,O,3201,3299,W BARRY AVE
9,378,E,3218,3228,W 37TH PL
10,392,O,503,523,W 37TH ST
11,1241,O,5101,5199,W BARRY AVE
12,152,O,2101,2101,W 37TH ST
14,152,O,2201,2269,W 37TH ST
15,777,O,3201,3299,W 38TH PL
16,31,E,1936,1952,W 38TH ST
17,175,O,6301,6343,W BARRY AVE
18,154,O,1727,1757,W CRYSTAL ST
19,143,O,401,459,W BELDEN AVE
20,143,O,601,659,W BELDEN AVE
21,143,E,706,722,W BELDEN AVE
22,80,E,900,928,S CLAREMONT AVE
23,80,E,1008,1012,S CLAREMONT AVE
24,378,O,2501,2559,W 38TH ST
25,185,O,2641,2665,W 39TH PL
26,185,O,2815,2857,W 40TH ST
27,80,E,1016,1044,S CLAREMONT AVE
28,109,E,2504,2528,S CLAREMONT AVE
29,361,E,3300,3398,S CLAREMONT AVE
30,361,E,3400,3444,S CLAREMONT AVE
31,282,E,6200,6298,S CLAREMONT AVE
32,491,E,9358,9400,S CLAREMONT AVE
33,12,E,9514,9558,S CLAREMONT AVE
34,384,E,9800,9858,S CLAREMONT AVE
35,1105,E,9900,9998,S CLAREMONT AVE
36,358,E,1000,1008,N CLARK ST
37,74,O,1201,1299,N CLARK ST
38,74,E,1300,1398,N CLARK ST
39,74,E,1500,1598,N SANDBURG TER
40,74,O,1501,1599,N SANDBURG TER
42,142,O,1715,1715,N CLARK ST
43,142,E,1720,1720,N CLARK ST
45,142,E,1730,1730,N CLARK ST
47,142,E,1740,1740,N CLARK ST
49,142,E,1760,1764,N CLARK ST
50,142,E,1800,1898,N CLARK ST
51,142,O,1801,1899,N CLARK ST
52,142,E,1920,1936,N CLARK ST
53,142,O,1921,1937,N CLARK ST
54,143,E,2000,2798,N CLARK ST
