restaurant_id,name,price,phone,website,address,add_name,add_num
612,My Pi,29.98,+1 312-794-4124,unknown,"700 E 100th Pl, Chicago, IL 60628-1688",E 100TH PL,700
1018,Turkey Chop,46.87,+1 773-902-7127,https://restaurants.subway.com/united-states/il/chicago/4025-e-106th-street?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=50799&utm_campaign=evergreen-2020&y_source=1_MTQ5MDgxNzYtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"4025 E 106th St, Chicago, IL 60617-6340",E 106TH ST,4025
1011,Due Lire Vino & Cucina,45.64,+1 773-374-5640,unknown,"3643 E 106th St, Chicago, IL 60617-6638",E 106TH ST,3643
841,Jamba Juice,37.38,+1 773-855-8120,http://www.facebook.com/goreecuisine/,"1126 E 47th St, Chicago, IL 60653-4455",E 47TH ST,1126
806,Mccb,22.58,+1 872-777-4585,https://locations.bk.com/il/chicago/733-e-47th-st.html,"733 E 47th St, Chicago, IL 60653",E 47TH ST,733
3,Tang's Garden Restaurant,46.15,+1 312-674-0424,unknown,"513 1/2 E 47th St, Chicago, IL 60653-4207",E 47TH ST,513
713,Goosefoot,35.15,+1 773-285-5235,unknown,"101 E 47th St, Chicago, IL 60653-3806",E 47TH ST,101
762,Kudos Pizza,23.92,+1 312-258-8477,unknown,"219 E 47th St, Chicago, IL 60653-3903",E 47TH ST,219
870,Cabos Baja Cafe & Mexican Grill,28.96,+1 773-667-7394,unknown,"1400 E 47th St, Chicago, IL 60653-4520",E 47TH ST,1400
718,El Pollo Feliz,49.96,+1 773-891-2405,https://loadaspud.com/,"109 E 51st St, Chicago, IL 60615-2106",E 51ST ST,109
886,Tom Tom Tamale & Bakery Co,26.97,+1 773-667-0647,http://www.valoisrestaurant.com/,"1518 E 53rd St, Chicago, IL 60615-4503",E 53RD ST,1518
867,Paseo Boricua,29.56,+1 773-891-2554,https://www.facebook.com/ETOO-Modern-Asian-Cuisine-185774115322826/,"1373 E 53rd St, Chicago, IL 60615-4001",E 53RD ST,1373
898,Deuce's & The Diamonds Club,32.02,+1 773-667-5423,http://www.snailthai.com,"1649 E 55th St, Chicago, IL 60615-5838",E 55TH ST,1649
862,China Town Buffet Inc,49.15,+1 773-667-7394,http://www.medici57.com,"1327 E 57th St, Chicago, IL 60637-1724",E 57TH ST,1327
788,Native Foods,15.15,+1 312-258-8477,unknown,"548 E 67th St, Chicago, IL 60637-4002",E 67TH ST,548
938,La Storia,36.71,+1 708-483-8748,https://www.facebook.com/Surfsupchicago/,"2236 E 71st St, Chicago, IL 60649-2522",E 71ST ST,2236
904,Qwest Chicago Cyber Center,29.94,+1 312-210-7788,unknown,"1734 E 71st St, Chicago, IL 60649-1913",E 71ST ST,1734
926,Namo Thai Cuisine,16.66,+1 773-288-4931,http://www.apdeli.com/ourlocations.asp,"2025 E 75th St, Chicago, IL 60649-3623",E 75TH ST,2025
803,Eclipse Restaurant & Lounge,27.42,+1 773-723-2268,unknown,"720 E 75th St, Chicago, IL 60619-1908",E 75TH ST,720
892,Hellas Gyros,38.01,+1 773-768-2453,http://www.whitecastle.com,"1550 E 79th St, Chicago, IL 60619-4608",E 79TH ST,1550
853,Suga Mama's Fine Southern Cuisine,15.85,+1 708-986-3008,https://www.thewoodlawn1200.com/,"1200 E 79th St, Chicago, IL 60619-3308",E 79TH ST,1200
785,Sunny Day Tap,27.64,+1 773-994-3123,unknown,"522 E 79th St, Chicago, IL 60619-3054",E 79TH ST,522
787,Dunkin',31.73,+1 773-723-7522,unknown,"537 E 79th St, Chicago, IL 60619-3035",E 79TH ST,537
808,Windy City Hot Dogs Incorporated,32.34,+1 773-873-7428,unknown,"742 E 79th St, Chicago, IL 60619-3118",E 79TH ST,742
918,Burger King,30.21,+1 773-359-4290,unknown,"1948 E 79th St, Chicago, IL 60649-4631",E 79TH ST,1948
951,Venchi,42.38,+1 773-768-2600,unknown,"2608 E 79th St, Chicago, IL 60649-5210",E 79TH ST,2608
782,Third Star,40.96,+1 773-651-4108,unknown,"432 E 87th St, Chicago, IL 60619-6004",E 87TH ST,432
855,Clarke's Pancake House,45.14,+1 773-933-4714,unknown,"1225 E 87th St, Chicago, IL 60619-7013",E 87TH ST,1225
883,Steak Out Grill,16.54,+1 773-768-8282,unknown,"1511 E 87th St, Chicago, IL 60619-6524",E 87TH ST,1511
888,New Tea Garden Chop Suey,27.6,+1 773-530-7710,unknown,"1521 E 87th St, Chicago, IL 60619-6524",E 87TH ST,1521
969,Rocky's Tacos,25.03,+1 773-734-0512,unknown,"3003 E 92nd St, Chicago, IL 60617-4502",E 92ND ST,3003
776,The Snail Thai Cuisine,21.54,+1 773-928-3027,http://www.wendys.com,"344 E 95th St, Chicago, IL 60619-7354",E 95TH ST,344
1004,Rally's Hamburgers,46.16,+1 773-734-9591,unknown,"3532 E 95th St, Chicago, IL 60617-5164",E 95TH ST,3532
620,Tarboush Mediterranean Grill,19.61,+1 312-794-4124,https://restaurants.subway.com/united-states/il/chicago/126-e-cermak-road?utm_source=yext-other&utm_medium=local&utm_term=acq&utm_content=68870&utm_campaign=evergreen-2020&y_source=1_MTQ4OTkyNzQtNzY5LWxvY2F0aW9uLndlYnNpdGU%3D,"126 E Cermak Rd Space E, Chicago, IL 60616-2130",E CERMAK RD,126
625,Cafe 10 Chicago Il,40.06,+1 312-567-0694,unknown,"350 E Cermak Rd, Chicago, IL 60616-5507",E CERMAK RD,350
755,Mini Mott,40.65,+1 312-751-1519,http://space519thelunchroom.com/,"200 E Chestnut St, Chicago, IL 60611-2356",E CHESTNUT ST,200
689,New Happy Chop Suey,18.81,+1 312-324-4063,https://www.sofitel-chicago.com/,"20 E Chestnut St Sofitel Chicago Magnificent Mile, Chicago, IL 60611-2664",E CHESTNUT ST,20
